"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q3502288","","","","","","Wabush Airport","Aeropuerto de Wabush","aéroport de Wabush","","","","","","","","","Port lotniczy Wabush","","","Wabush Airport","","",""
"Q3502284","","","","","","Brandon Municipal Airport","Aeropuerto de Brandon","Aéroport municipal de Brandon","","","","","","ブランドン町営空港","","","Port lotniczy Brandon","","","Brandon Municipal Airport","","",""
"Q3912580","","","","","","Fort Smith Airport","Aeropuerto de Fort Smith","","","","","","","","","","","","","Fort Smith Airport","","",""
"Q3813535","","","","বার্নপুর বিমানবন্দর","","Burnpur Airport","","","","","","","","","","","","","","Burnpur Airport","","",""
"Q3914300","","","","","","Repulse Bay Airport","Aeropuerto de Repulse Bay","Aéroport de Repulse Bay","","","","Bandar Udara Repulse Bay","","","","","","","","Repulse Bay Airport","","",""
"Q3912586","","","","","","Sydney/J.A. Douglas McCurdy Airport","Aeropuerto de Sydney","Aéroport de Sydney-J.A. Douglas McCurdy","","","","","","J・A・ダグラス・マッカーディー・シドニー空港","","","","","","Sydney","","",""
"Q2919631","","","","","","Peace River Airport","Aeropuerto de Peace River","Aéroport de Peace River","","","","Bandar Udara Peace River","","","","","","","","Peace River","","",""
"Q2876048","","","","","","Piloto Civil Norberto Fernández International Airport","Aeropuerto Internacional Piloto Civil Norberto Fernández","aéroport international Piloto Civil Norberto Fernández","","","","","","ピロト・シヴィル・ノルベルト・フェルナンデス国際空港","","","Port lotniczy Río Gallegos","Aeroporto Internacional Piloto Civil Norberto Fernández","","Rio Gallegos Aerodrome","","",""
"Q1432711","","","","","Flughafen San Miguel de Tucumán","Teniente Benjamín Matienzo International Airport","Aeropuerto Internacional Teniente Benjamín Matienzo","","","","","","","サン・ミゲル・デ・トゥクマン","","","Port lotniczy Tucumán","Aeroporto Tenente General Benjamín Matienzo","","Tucuman Aerodrome","","",""
"Q652085","","","","","CFB Edmonton","3rd Division Support Base","","base de soutien de la 3e Division du Canada","","","","","","","","CFB Edmonton","","","Эдмонтон","CFB Edmonton","","",""
"Q520142","","","","","","Kuujjuaq Airport","Aeropuerto de Kuujjuaq","aéroport de Kuujjuaq","","","","","","","","","Port lotniczy Kuujjuaq","","","Kuujjuaq Airport","","",""
"Q2579272","","","","","","Augusto Severo International Airport","Aeropuerto Internacional Augusto Severo","","","","","Bandar Udara Internasional Augusto Severo","","アウグスト・セヴェロ国際空港","","","Port lotniczy Natal-Augusto Severo","Aeroporto Internacional Augusto Severo","Аугусту Северу","","","Sân bay quốc tế Augusto Severo",""
"Q2876050","","","","","Flughafen Presidente Castro Pinto","Presidente Castro Pinto International Airport","Aeropuerto Internacional Castro Pinto","aéroport international Presidente Castro Pinto","","","","","","ジョアンペソア","","Aeroporto Internacional Presidente Castro Pinto","","Aeroporto Internacional Presidente Castro Pinto","","Presidente Castro Pinto International Airport","","Sân bay quốc tế Presidente Castro Pinto",""
"Q2578887","","","","","Flughafen Eurico De Aguiar Salles","Eurico de Aguiar Salles Airport","Aeropuerto de Eurico de Aguiar Salles","","","","","","","ビトリア","","Luchthaven Eurico de Aguiar Salles","Port lotniczy Vitória-Eurico de Aguiar Salles","Aeroporto Eurico de Aguiar Salles","Эурику ди Ажияр Саллес","Eurico de Aguiar Salles Airport","","Sân bay Eurico de Aguiar Salles",""
"Q2448604","","","","","Flughafen Zumbi Dos Palmares","Zumbi dos Palmares International Airport","Aeropuerto Internacional Zumbi dos Palmares","aéroport international Zumbi-dos-Palmares","","","","","Aeroporto di Maceió","マセイオ","","Luchthaven Zumbi dos Palmares","","Aeroporto Internacional Zumbi dos Palmares","Зумби-дус-Палмарис","Maceió/Zumbi dos Palmares International Airport","","Sân bay quốc tế Zumbi dos Palmares",""
"Q2298657","","","","","Townsville International Airport","Townsville Airport","","","","","","","","タウンズビル空港","","","Port lotniczy Townsville","","Таунсвилл","Townsville Airport","","Sân bay quốc tế Townsville",""
"Q2235247","","","","","","Timmins/Victor M. Power Airport","Aeropuerto de Timmins","aéroport Timmins/Victor M. Power","","","","","","ティミンズ/ヴィクター・M・パワー空港","","","","","","Timmins flygplats","","Sân bay Timmins",""
"Q2235239","","","","","","Thompson Airport","Aeropuerto de Thompson","aéroport de Thompson","","","","","","","","","","","","Thompson Weather Office","","Sân bay Thompson",""
"Q1927818","","","","","","Gobernador Horacio Guzmán International Airport","Aeropuerto Internacional Gobernador Horacio Guzmán","","","","","","","ゴベルナドル・オラシオ・グスマン国際空港","","","Port lotniczy Gobernador Horacio Guzman","Aeroporto Internacional Gobernador Horacio Guzmán","","Gobernador Horacio Guzmán International Airport","","Sân bay quốc tế Gobernador Horacio Guzmán",""
